,regressor,col_list,train_score,train_mae,test_mse,test_mae
60,PLSRegression,"['STEM', 'Major', 'University', 'High School']",6.435375992508833,1.995697423646566,23.178413703672163,3.9903497790104216
61,PLSRegression,"['Reviewer', 'Major', 'University', 'High School']",7.437942128002038,2.163306363827802,23.880387383916318,4.066563611205866
62,PLSRegression,"['GPA', 'Major', 'University', 'High School']",6.565643526128044,2.028344503840273,24.244231372237905,4.014111109610264
63,PLSRegression,"['Major', 'High School', 'University', 'Weighted GPA']",6.565492067771615,2.005883397548022,22.808716232422068,3.8636983415523027
64,PLSRegression,"['GPA', 'STEM', 'Reviewer']",18.136089018412527,3.4142883350021633,19.748503627794133,3.8540230080617004
65,PLSRegression,"['STEM', 'Reviewer', 'Weighted GPA']",16.822208535071308,3.2283538824501896,17.531838795636077,3.5942881946785263
66,PLSRegression,"['GPA', 'STEM', 'Weighted GPA']",17.45801069321867,3.38468832921897,17.786020972058857,3.5578300505719027
67,PLSRegression,"['GPA', 'Reviewer', 'Weighted GPA']",17.25099117257929,3.387201118005256,19.80416107669078,3.764134870336987
68,PLSRegression,"['STEM', 'Reviewer', 'Major']",18.441106715334744,3.55606159988164,24.964227984619242,4.344812906162939
69,PLSRegression,"['GPA', 'STEM', 'Major']",16.62997817668232,3.3034282693085486,23.466688070551754,4.03918905648797
70,PLSRegression,"['GPA', 'Reviewer', 'Major']",17.425803618186656,3.4203567274502737,25.87986885896242,4.3273659603834345
71,PLSRegression,"['STEM', 'Major', 'Weighted GPA']",15.93300132491575,3.1636570194200533,20.367356714695507,3.7729480327919855
72,PLSRegression,"['Reviewer', 'Major', 'Weighted GPA']",16.33693272057405,3.2326250315519545,22.024678009183127,3.9370453488123824
73,PLSRegression,"['GPA', 'Major', 'Weighted GPA']",17.070630437846187,3.3830714751882676,24.13178609613894,3.997703340012353
74,PLSRegression,"['STEM', 'Reviewer', 'University']",13.152281899232381,2.768720208435828,23.12007607385884,4.197812358227028
75,PLSRegression,"['GPA', 'STEM', 'University']",12.500656837357713,2.6804512424466767,23.564186206534405,4.081056099469023
76,PLSRegression,"['GPA', 'Reviewer', 'University']",13.383567639901045,2.859334949846284,25.031288065114666,4.285493323307523
77,PLSRegression,"['STEM', 'University', 'Weighted GPA']",11.60095758342997,2.594803225666087,20.826955285204416,3.814875397632074
78,PLSRegression,"['Reviewer', 'University', 'Weighted GPA']",12.371284754593166,2.7092402924730017,22.3792645879258,4.011452149464416
79,PLSRegression,"['GPA', 'University', 'Weighted GPA']",15.179248282921515,3.2349541589936677,23.079754218039323,4.007957688801209
80,PLSRegression,"['STEM', 'Major', 'University']",14.712795781188131,3.098427914139914,26.17362621681632,4.335147493651485
81,PLSRegression,"['Reviewer', 'Major', 'University']",18.200718247338635,3.4313993723460015,31.374158941191318,4.643909391504388
82,PLSRegression,"['GPA', 'Major', 'University']",12.462028061446947,2.781229288449949,29.840942722799415,4.6305441296405325
83,PLSRegression,"['Major', 'University', 'Weighted GPA']",14.430794634524563,3.1669235388392614,24.830157296484536,4.09922025391574
84,PLSRegression,"['STEM', 'Reviewer', 'High School']",8.432174564696567,2.3033797598908423,17.438761041746343,3.509817726782839
85,PLSRegression,"['GPA', 'STEM', 'High School']",5.507706887610686,1.7831688551751583,23.08759220270931,3.5400204699611426
