FacilityName,FacilityNameFull,City,END
St James School,St James School,Arlington Heights,
St James the Apostle,St James the Apostle,Glen Ellyn,
St Jane De Chantal School,St Jane De Chantal School,Chicago,
St Jerome School,St Jerome School,Chicago,
St Joan of Arc,St Joan of Arc,Lisle,
St John Berchmans School,St John Berchmans School,Chicago,
St John Brebeuf School,St John Brebeuf School,Niles,
St John De La Salle School,St John De La Salle School,Chicago,
St John Ev Lutheran School,St John Ev Lutheran School,Chicago,
St John Fisher,St John Fisher,Chicago,
St John Lutheran,St John Lutheran,Country Club Hills,
St John Lutheran School,St John Lutheran School,Champaign,
St John Lutheran School,St John Lutheran School,Chester,
St John Neumann,St John Neumann,Maryville,
St John of the Cross,St John of the Cross,Western Springs,
St John The Baptist,St John The Baptist,Winfield,
St John the Baptist,St John the Baptist,West Frankfort,
St John the Baptist,St John the Baptist,Red Bud,
St John the Baptist Catholic,St John the Baptist Catholic,Smithton,
St John The Baptist Catholic Sch,St John The Baptist Catholic Sch,Johnsburg,
St John the Evangelist,St John the Evangelist,Streamwood,
St John the Evangelist School,St John the Evangelist School,Carrollton,
St John Vianney School,St John Vianney School,Northlake,
St Johns Lutheran,St Johns Lutheran,Lombard,
St Johns Lutheran Grade School,St Johns Lutheran Grade School,New Berlin,
St Johns Lutheran Parochial Sch,St Johns Lutheran Parochial Sch,Mattoon,
St Johns Lutheran School,St Johns Lutheran School,La Grange,
St Johns Lutheran School,St Johns Lutheran School,Elgin,
St Johns Lutheran School,St Johns Lutheran School,Buckley,
St Johns Lutheran School,St Johns Lutheran School,Libertyville,
St Johns Lutheran School,St Johns Lutheran School,Red Bud,
St Josaphat,St Josaphat,Chicago,
St Joseph,St Joseph,Summit,
St Joseph,St Joseph,Round Lake,
St Joseph,St Joseph,Manhattan,
St Joseph Academy,St Joseph Academy,Joliet,
St Joseph CCSD 169,St Joseph CCSD 169,Saint Joseph,
St Joseph Elem School,St Joseph Elem School,Saint Joseph,
St Joseph Grade School,St Joseph Grade School,Olney,
St Joseph High School,St Joseph High School,Westchester,
St Joseph Middle School,St Joseph Middle School,Saint Joseph,
St Joseph Ogden CHSD 305,St Joseph Ogden CHSD 305,Saint Joseph,
St Joseph School,St Joseph School,Wilmette,
St Joseph School,St Joseph School,Downers Grove,
St Joseph School,St Joseph School,Elgin,
St Joseph School,St Joseph School,Libertyville,
St Joseph School,St Joseph School,Freeburg,
St Joseph School,St Joseph School,Pekin,
St Joseph School,St Joseph School,Lockport,
St Joseph-Ogden High School,St Joseph-Ogden High School,Saint Joseph,
St Jude,St Jude,Joliet,
St Jude Catholic School,St Jude Catholic School,Peoria,
St Jude School,St Jude School,New Lenox,
St Juliana School,St Juliana School,Chicago,
St Ladislaus,St Ladislaus,Chicago,
ST LAURENCE H.S.,ST LAURENCE H.S.,BURBANK,
St Laurence High School,St Laurence High School,Burbank,
St Laurence School,St Laurence School,Elgin,
St Leonard School,St Leonard School,Berwyn,
St Libory Cons SD 30,St Libory Cons SD 30,Saint Libory,
St Libory Elem School,St Libory Elem School,Saint Libory,
St Linus School,St Linus School,Oak Lawn,
St Louis Catholic School,St Louis Catholic School,Nokomis,
St Louise De Marillac School,St Louise De Marillac School,La Grange Park,
St Luke Academy,St Luke Academy,Chicago,
St Luke Catholic School,St Luke Catholic School,River Forest,
St Lukes Christian Academy,St Lukes Christian Academy,Montgomery,
St Malachy,St Malachy,Rantoul,
St Malachy School,St Malachy School,Chicago,
St Malachy School,St Malachy School,Geneseo,
St Margaret Mary,St Margaret Mary,Algonquin,
St Margaret of Scotland School,St Margaret of Scotland School,Chicago,
St Maria Goretti School,St Maria Goretti School,Schiller Park,
St Mark,St Mark,Peoria,
St Mark Lutheran School,St Mark Lutheran School,Sauk Village,
St Marks Lutheran School,St Marks Lutheran School,Steeleville,
St Mary,St Mary,DeKalb,
St Mary,St Mary,West Chicago,
St Mary,St Mary,Buffalo Grove,
St Mary,St Mary,Alton,
St Mary,St Mary,Sterling,
St Mary,St Mary,Mokena,
St Mary Elem & Jr High School,St Mary Elem & Jr High School,Dixon,
St Mary Immaculate School,St Mary Immaculate School,Plainfield,
St Mary Nativity,St Mary Nativity,Joliet,
St Mary of Gostyn School,St Mary of Gostyn School,Downers Grove,
St Mary of the Angels,St Mary of the Angels,Chicago,
St Mary of the Lake School,St Mary of the Lake School,Chicago,
St Mary of the Woods School,St Mary of the Woods School,Chicago,
St Mary School,St Mary School,Mount Sterling,
St Mary School,St Mary School,Taylorville,
St Mary School,St Mary School,Riverside,
St Mary School,St Mary School,Mattoon,
St Mary School,St Mary School,Centralia,
St Mary School,St Mary School,Sycamore,
St Mary School,St Mary School,Pontiac,
St Mary School,St Mary School,Bloomington,
St Mary School,St Mary School,Mount Carmel,
St Mary School,St Mary School,Plano,
St Mary School,St Mary School,Elgin,
St Mary School,St Mary School,Brussels,
St Mary School,St Mary School,Woodstock,
St Mary School,St Mary School,Chester,
St Mary Star of the Sea,St Mary Star of the Sea,Chicago,
St Marys,St Marys,Mount Vernon,
St Marys Adolescent Ed Program,St Marys Adolescent Ed Program,Decatur,
St Marys Parish Sch of Kickapoo,St Marys Parish Sch of Kickapoo,Edwards,
St Marys School,St Marys School,East Dubuque,
St Marys School,St Marys School,Edwardsville,
St Marys School,St Marys School,Metamora,
St Matthew School,St Matthew School,Glendale Heights,
St Matthews School,St Matthews School,Champaign,
St Matthias/Transfiguration Sch,St Matthias/Transfiguration Sch,Chicago,
St Michael,St Michael,Wheaton,
St Michael School,St Michael School,Orland Park,
St Michael School,St Michael School,Sigel,
St Michael the Archangel Sch,St Michael the Archangel Sch,Streator,
St Monica School,St Monica School,Chicago,
St Nicholas Cathedral,St Nicholas Cathedral,Chicago,
St Nicholas of Tolentine School,St Nicholas of Tolentine School,Chicago,
St Norbert School,St Norbert School,Northbrook,
St Norbert School,St Norbert School,Hardin,
St Odilo School,St Odilo School,Berwyn,
St Patricia School,St Patricia School,Hickory Hills,
St Patrick,St Patrick,Wadsworth,
St Patrick,St Patrick,Washington,
St Patrick,St Patrick,Joliet,
St Patrick Elem,St Patrick Elem,Decatur,
St Patrick Grade School,St Patrick Grade School,Springfield,
St Patrick High School,St Patrick High School,Chicago,
St Patrick School,St Patrick School,St Charles,
St Paul C O G I C Academy,St Paul C O G I C Academy,Rockford,
St Paul Catholic School,St Paul Catholic School,Highland,
St Paul Early Childhood Center,St Paul Early Childhood Center,Chicago,
St Paul Lutheran,St Paul Lutheran,Brookfield,
St Paul Lutheran,St Paul Lutheran,Troy,
St Paul Lutheran School,St Paul Lutheran School,Mt Prospect,
St Paul Lutheran School,St Paul Lutheran School,Chicago,
St Paul Lutheran School,St Paul Lutheran School,Rochelle,
St Paul of the Cross School,St Paul of the Cross School,Park Ridge,
St Paul School,St Paul School,Odell,
St Paul School,St Paul School,Macomb,
St Paul the Apostle,St Paul the Apostle,Joliet,
St Pauls Christian School,St Pauls Christian School,Monee,
St Pauls Lutheran,St Pauls Lutheran,Aurora,
St Pauls Lutheran School,St Pauls Lutheran School,Milford,
St Pauls Lutheran School,St Pauls Lutheran School,Bourbonnais,
St Pauls Lutheran School,St Pauls Lutheran School,Moline,
St Peter,St Peter,Geneva,
St Peter and Paul,St Peter and Paul,Nauvoo,
St Peter and Paul,St Peter and Paul,Cary,
St Peter Lutheran,St Peter Lutheran,Saint Peter,
St Peter Lutheran School,St Peter Lutheran School,Arlington Heights,
St Peter Lutheran School,St Peter Lutheran School,Schaumburg,
St Peter Lutheran School,St Peter Lutheran School,Dorsey,
St Peter Lutheran School,St Peter Lutheran School,Joliet,
St Peter School,St Peter School,Quincy,
St Peter the Apostle Sch,St Peter the Apostle Sch,Itasca,
St Peters School,St Peters School,South Beloit,
St Petronille,St Petronille,Glen Ellyn,
St Philip Lutheran,St Philip Lutheran,Chicago,
St Philip Neri School,St Philip Neri School,Chicago,
St Philip the Apostle School,St Philip the Apostle School,Addison,
St Philomena School,St Philomena School,Peoria,
St Pius V School,St Pius V School,Chicago,
St Pius X,St Pius X,Lombard,
St Procopius Elem School,St Procopius Elem School,Chicago,
St Raphael School,St Raphael School,Naperville,
St Raymond School,St Raymond School,Mt Prospect,
St Rene Goupil,St Rene Goupil,Chicago,
St Richard School,St Richard School,Chicago,
St Rita High School,St Rita High School,Chicago,
St. Rita of Cascia High School,St. Rita of Cascia High School,Chicago,
St Rita of Cascia,St Rita of Cascia,Aurora,
ST RITA OF CASCIA HIGH SCHOOL,ST RITA OF CASCIA HIGH SCHOOL,CHICAGO,
St Rita School,St Rita School,Rockford,
St Robert Bellarmine School,St Robert Bellarmine School,Chicago,
St Rose Elem School,St Rose Elem School,Breese,
St Rose School,St Rose School,Wilmington,
St Rose SD 14-15,St Rose SD 14-15,Breese,
St Sabina Academy,St Sabina Academy,Chicago,
St Sava Academy,St Sava Academy,Chicago,
St Scholastica School,St Scholastica School,Woodridge,
St Stanislaus Kostka School,St Stanislaus Kostka School,Chicago,
St Sylvester Catholic School,St Sylvester Catholic School,Chicago,
St Symphorosa School,St Symphorosa School,Chicago,
St Teresa,St Teresa,Belleville,
St Teresa High School,St Teresa High School,Decatur,
St Thecla,St Thecla,Chicago,
St Theresa School,St Theresa School,Palatine,
St Therese School East,St Therese School East,Chicago,
ST Therese School West,ST Therese School West,Chicago,
St Thomas,St Thomas,Newton,
St Thomas More,St Thomas More,Elgin,
St Thomas of Canterbury,St Thomas of Canterbury,Chicago,
St Thomas of Villanova,St Thomas of Villanova,Palatine,
St Thomas School,St Thomas School,Philo,
St Thomas The Apostle,St Thomas The Apostle,Crystal Lake,
St Thomas the Apostle,St Thomas the Apostle,Peoria Heights,
St Thomas the Apostle Elementary,St Thomas the Apostle Elementary,Chicago,
St Viator High School,St Viator High School,Arlington Heights,
St Viator School,St Viator School,Chicago,
St Vincent De Paul,St Vincent De Paul,Peoria,
St Vincent Ferrer,St Vincent Ferrer,River Forest,
St Walter School,St Walter School,Chicago,
St Walter School,St Walter School,Roselle,
St William School,St William School,Chicago,
St Zachary School,St Zachary School,Des Plaines,
Stagg Elem School,Stagg Elem School,Chicago,
Standberry Christian Academy,Standberry Christian Academy,South Holland,
Stanton School,Stanton School,Fox Lake,
Stark County CUSD 100,Stark County CUSD 100,Wyoming,
Stark County Elem Sch,Stark County Elem Sch,Wyoming,
Stark County High School,Stark County High School,Toulon,
Stark County Junior High School,Stark County Junior High School,Toulon,
Starquest Acad RSSP North,Starquest Acad RSSP North,Johnston City,
Starquest Acad RSSP South,Starquest Acad RSSP South,Metropolis,
Starr Commonwealth,Starr Commonwealth,Albion,
STARS Autism Program,STARS Autism Program,Lisle,
Starved Rock for Voc Tech Ed,Starved Rock for Voc Tech Ed,Peru,
Staunton CUSD 6,Staunton CUSD 6,Staunton,
Staunton Elem School,Staunton Elem School,Staunton,
Staunton High School,Staunton High School,Staunton,
Staunton Jr High School,Staunton Jr High School,Staunton,
Ste Marie Elem School,Ste Marie Elem School,Sainte Marie,
Steele School,Steele School,Galesburg,
Steeleville CUSD 138,Steeleville CUSD 138,Steeleville,
Steeleville Elem School,Steeleville Elem School,Steeleville,
Steeleville High School,Steeleville High School,Steeleville,
Steeple Run Elem School,Steeple Run Elem School,Naperville,
Steger Intermediate Center,Steger Intermediate Center,Steger,
Steger Primary Center,Steger Primary Center,South Chicago Heights,
Steger SD 194,Steger SD 194,Steger,
Steinmetz College Prep HS,Steinmetz College Prep HS,Chicago,
Stella May Swartz Elem School,Stella May Swartz Elem School,Oakbrook Terrace,
STEM Magnet Academy Elem,STEM Magnet Academy Elem,Chicago,
Stephen Decatur Middle School,Stephen Decatur Middle School,Decatur,
Stephen Mack Middle School,Stephen Mack Middle School,Rockton,
Stepping Stones Early Childhood,Stepping Stones Early Childhood,Chicago,
Sterling Central - Chicago Campus,Sterling Central - Chicago Campus,Elk Grove Village,
Sterling CUSD 5,Sterling CUSD 5,Sterling,
Sterling High School,Sterling High School,Sterling,
Sterling Middle School,Sterling Middle School,Peoria,
Stetson School,Stetson School,Barre,
Steuben Elementary School,Steuben Elementary School,Kankakee,
Stevens Academy of Life,Stevens Academy of Life,Chicago,
Stevenson Accelerated School,Stevenson Accelerated School,Decatur,
Stevenson Elem School,Stevenson Elem School,Chicago,
Stevenson Elem School,Stevenson Elem School,Bloomington,
Stevenson Middle School,Stevenson Middle School,Melrose Park,
Stevenson School,Stevenson School,Lombard,
Steward Elementary School,Steward Elementary School,Steward,
Steward ESD 220,Steward ESD 220,Steward,
Stewardson-Strasburg CUD 5A,Stewardson-Strasburg CUD 5A,Strasburg,
Stewardson-Strasburg Elem School,Stewardson-Strasburg Elem School,Strasburg,
Stewardson-Strasburg High School,Stewardson-Strasburg High School,Strasburg,
Still Middle School,Still Middle School,Aurora,
Stillman Valley High School,Stillman Valley High School,Stillman Valley,
Stock Early Childhood Center,Stock Early Childhood Center,Chicago,
Stockton CUSD 206,Stockton CUSD 206,Stockton,
Stockton Elem School,Stockton Elem School,Stockton,
Stockton Middle School,Stockton Middle School,Stockton,
Stockton Sr High School,Stockton Sr High School,Stockton,
Stone Creek School,Stone Creek School,Roscoe,
Stone Elem Scholastic Academy,Stone Elem Scholastic Academy,Chicago,
Stone Elem School,Stone Elem School,Addison,
Stony Creek Elem School,Stony Creek Elem School,Alsip,
Stowe Elem School,Stowe Elem School,Chicago,
Strassburg Elem,Strassburg Elem,Sauk Village,
Stratford Middle School,Stratford Middle School,Bloomingdale,
Stratton Elementary School,Stratton Elementary School,Champaign,
Streamwood Behavioral Healthcare,Streamwood Behavioral Healthcare,Streamwood,
Streamwood High School,Streamwood High School,Streamwood,
Streamwood Montessori,Streamwood Montessori,Streamwood,
Streator ESD 44,Streator ESD 44,Streator,
Streator Twp High School,Streator Twp High School,Streator,
Streator Twp HSD 40,Streator Twp HSD 40,Streator,
Stuart R Paddock School,Stuart R Paddock School,Palatine,
SUCCESS Academy,SUCCESS Academy,Aurora,
Success Academy,Success Academy,Carpentersville,
Success Academy 4-5,Success Academy 4-5,Algonquin,
Success Academy HS,Success Academy HS,Carpentersville,
Suder Montessori Elem Magnet Schl,Suder Montessori Elem Magnet Schl,Chicago,
Sugar Creek Elem School,Sugar Creek Elem School,Normal,
Sullivan CUSD 300,Sullivan CUSD 300,Sullivan,
Sullivan Elem School,Sullivan Elem School,Sullivan,
Sullivan Elem School,Sullivan Elem School,Chicago,
Sullivan High School,Sullivan High School,Sullivan,
Sullivan High School,Sullivan High School,Chicago,
Sullivan House H S,Sullivan House H S,Chicago,
Sullivan Middle School,Sullivan Middle School,Sullivan,
Summerdale Early Childhood Center,Summerdale Early Childhood Center,Rockford,
Summersville Grade School,Summersville Grade School,Mount Vernon,
Summersville SD 79,Summersville SD 79,Mount Vernon,
Summit Elementary School,Summit Elementary School,Collinsville,
Summit Hill Junior High School,Summit Hill Junior High School,Frankfort,
Summit Hill SD 161,Summit Hill SD 161,Frankfort,
Summit School,Summit School,Elgin,
Summit SD 104,Summit SD 104,Summit,
Sumner Attendance Center,Sumner Attendance Center,Sumner,
Sumner Elem Math & Sci Comm Acad,Sumner Elem Math & Sci Comm Acad,Chicago,
Sunflower Montessori School,Sunflower Montessori School,Western Springs,
Sunny Hill Elem School,Sunny Hill Elem School,Carpentersville,
Sunnybrook SD 171,Sunnybrook SD 171,Lansing,
Sunnydale Elem School,Sunnydale Elem School,Streamwood,
Sunnyside Intermediate School,Sunnyside Intermediate School,Berkeley,
Sunrise Montessori Academy,Sunrise Montessori Academy,Addison,
Sunset Ridge Elem School,Sunset Ridge Elem School,Northfield,
Sunset Ridge SD 29,Sunset Ridge SD 29,Northfield,
Sutherland Elem School,Sutherland Elem School,Chicago,
Swan Hillman Elem School,Swan Hillman Elem School,Rockford,
Swann School,Swann School,Champaign,
Swann Special Care Center,Swann Special Care Center,Champaign,
Swann Special Care-Elementary,Swann Special Care-Elementary,Champaign,
Swann Special Care-Secondary,Swann Special Care-Secondary,Champaign,
Sward Elem School,Sward Elem School,Oak Lawn,
Swift Elem Specialty School,Swift Elem Specialty School,Chicago,
Sycamore CUSD 427,Sycamore CUSD 427,Sycamore,
Sycamore High School,Sycamore High School,Sycamore,
Sycamore Middle School,Sycamore Middle School,Sycamore,
Sycamore Trails Elementary School,Sycamore Trails Elementary School,Bartlett,
T E Culbertson Elem School,T E Culbertson Elem School,Joliet,
T Roosevelt Elem School,T Roosevelt Elem School,Cicero,
Taft Elementary School,Taft Elementary School,Joliet,
Taft Grade School,Taft Grade School,Lockport,
Taft High School,Taft High School,Chicago,
Taft Primary School,Taft Primary School,Kankakee,
Taft School,Taft School,Harvey,
Taft SD 90,Taft SD 90,Lockport,
Talala Elementary School,Talala Elementary School,Park Forest,
Talcott Elem School,Talcott Elem School,Chicago,
Tallgrass Sudbury School,Tallgrass Sudbury School,Riverside,
Talman Elem School,Talman Elem School,Chicago,
Tamaroa Elem School,Tamaroa Elem School,Tamaroa,
Tamaroa School Dist 5,Tamaroa School Dist 5,Tamaroa,
Tampico Elem School,Tampico Elem School,Tampico,
Tanner Elem School,Tanner Elem School,Chicago,
TAPESTRY ALOP,TAPESTRY ALOP,Hillside,
Tarkington Elem School,Tarkington Elem School,Chicago,
Taylor Elem School,Taylor Elem School,Chicago,
Taylor Park Elem School,Taylor Park Elem School,Freeport,
Taylor Ridge Elem School,Taylor Ridge Elem School,Taylor Ridge,
Taylorville Alternative School,Taylorville Alternative School,Taylorville,
Taylorville CUSD 3,Taylorville CUSD 3,Taylorville,
Taylorville Jr High School,Taylorville Jr High School,Taylorville,
Taylorville Sr High School,Taylorville Sr High School,Taylorville,
Tazewell Co Area EFE RDS,Tazewell Co Area EFE RDS,Pekin,
Tazewell-Mason Cntys Sp Ed Assoc,Tazewell-Mason Cntys Sp Ed Assoc,Pekin,
TCRC Inc,TCRC Inc,Tremont,
Technology Center of DuPage,Technology Center of DuPage,Addison,
Tefft Middle School,Tefft Middle School,Streamwood,
Telpochcalli Elem School,Telpochcalli Elem School,Chicago,
Telshe High School,Telshe High School,Chicago,
Temple Christian Academy,Temple Christian Academy,Moline,
Tender Loving Care Mont,Tender Loving Care Mont,Lombard,
Terrace Elem School,Terrace Elem School,Des Plaines,
Teutopolis CUSD 50,Teutopolis CUSD 50,Teutopolis,
Teutopolis Grade School,Teutopolis Grade School,Teutopolis,
Teutopolis High School,Teutopolis High School,Teutopolis,
Teutopolis Junior High School,Teutopolis Junior High School,Teutopolis,
Thayer J Hill Middle School,Thayer J Hill Middle School,Naperville,
The Academy,The Academy,Rantoul,
The Academy at Forest View,The Academy at Forest View,Arlington Heights,
The Academy of Excellance,The Academy of Excellance,Marion,
The Academy of Joan of Arc,The Academy of Joan of Arc,Evanston,
The Cambridge Sch Chicago,The Cambridge Sch Chicago,Chicago,
The Camelot Schools,The Camelot Schools,Genoa,
The Camphill School,The Camphill School,Glenmoore,
THE CHICAGO ACADEMY FOR THE ARTS,THE CHICAGO ACADEMY FOR THE ARTS,CHICAGO,
The Childrens School,The Childrens School,Oak Park,
The Communications Program,The Communications Program,Bourbonnais,
The District 54 Early Learning Center,The District 54 Early Learning Center,Schaumburg,
The Early Years,The Early Years,Jacksonville,
The Family Matters School,The Family Matters School,Chicago,
The Field School,The Field School,Oak Park,
The Grove Montessori School,The Grove Montessori School,Long Grove,
The High School of Saint Thomas More,The High School of Saint Thomas More,Champaign,
The Hunter Lab Academy,The Hunter Lab Academy,Chicago,
The Institute for Person Centered Enrichment,The Institute for Person Centered Enrichment,Rolling Meadows,
The Joseph Sears School,The Joseph Sears School,Kenilworth,
The Lafayette Academy,The Lafayette Academy,Jacksonville,
The Lane Elem School,The Lane Elem School,Hinsdale,
The Learning Experience,The Learning Experience,Crest Hill,
The Learning House,The Learning House,Wheeling,
The Learning House - Intensive,The Learning House - Intensive,Wheeling,
The Nautilus School,The Nautilus School,Chicago,
The Nights Shield,The Nights Shield,West Frankfort,
The Richardson School Int,The Richardson School Int,Beloit,
The Richardson School LLC,The Richardson School LLC,Beloit,
The Ryan Jury Child Dev Learning Cntr,The Ryan Jury Child Dev Learning Cntr,Rockford,
The Shirley Deer Education and Technology Institute,The Shirley Deer Education and Technology Institute,Chicago,
The Skokie School,The Skokie School,Winnetka,
The Waldorf School of DuPage,The Waldorf School of DuPage,Warrenville,
The Wheatlands Elementary School,The Wheatlands Elementary School,Aurora,
Theodore Roosevelt Elem School,Theodore Roosevelt Elem School,Park Ridge,
Thomas Dooley Elem School,Thomas Dooley Elem School,Schaumburg,
Thomas Early Childhood Center,Thomas Early Childhood Center,Chicago,
Thomas Edison Elem School,Thomas Edison Elem School,Morton Grove,
Thomas Elementary School,Thomas Elementary School,Carbondale,
Thomas Jefferson Elem Sch,Thomas Jefferson Elem Sch,Joliet,
Thomas Jefferson Elem School,Thomas Jefferson Elem School,Hoffman Estates,
Thomas Jefferson Elem School,Thomas Jefferson Elem School,Milan,
Thomas Jefferson Elem School,Thomas Jefferson Elem School,Joliet,
Thomas Jefferson Jr High School,Thomas Jefferson Jr High School,Woodridge,
Thomas Jefferson Middle School,Thomas Jefferson Middle School,Waukegan,
Thomas Jefferson Primary School,Thomas Jefferson Primary School,Peoria,
Thomas Kelly College Preparatory,Thomas Kelly College Preparatory,Chicago,
Thomas Kelly High School,Thomas Kelly High School,Chicago,
Thomas Metcalf School,Thomas Metcalf School,Normal,
Thomas Middle School,Thomas Middle School,Arlington Heights,
Thomas Paine Elem School,Thomas Paine Elem School,Urbana,
Thomas S Baldwin Elementary School,Thomas S Baldwin Elementary School,Quincy,
Thomasboro CCSD 130,Thomasboro CCSD 130,Thomasboro,
Thomasboro Grade School,Thomasboro Grade School,Thomasboro,
Thome Ed School,Thome Ed School,Rock Falls,
Thompson Instructional Center,Thompson Instructional Center,Joliet,
Thompson Jr High School,Thompson Jr High School,Oswego,
Thompson Middle School,Thompson Middle School,Saint Charles,
Thompsonville Christian Sch,Thompsonville Christian Sch,Thompsonville,
Thompsonville CUSD 174,Thompsonville CUSD 174,Thompsonville,
Thompsonville Grade School,Thompsonville Grade School,Thompsonville,
Thompsonville High School,Thompsonville High School,Thompsonville,
Thornridge High School,Thornridge High School,Dolton,
Thornton Fractional Twp HSD 215,Thornton Fractional Twp HSD 215,Lansing,
Thornton Fractnl No High School,Thornton Fractnl No High School,Calumet City,
Thornton Fractnl So High School,Thornton Fractnl So High School,Lansing,
Thornton SD 154,Thornton SD 154,Thornton,
Thornton Township High School,Thornton Township High School,Harvey,
Thornton Twp HSD 205,Thornton Twp HSD 205,South Holland,
Thornwood High School,Thornwood High School,South Holland,
Thorp J N Elem School,Thorp J N Elem School,Chicago,
Thorp O A Elem Scholastic Acad,Thorp O A Elem Scholastic Acad,Chicago,
Three Oaks School,Three Oaks School,Cary,
Three Rivers EFE System,Three Rivers EFE System,Joliet,
Three Rivers School,Three Rivers School,Channahon,
Thresholds,Thresholds,Chicago,
Thresholds Loren Juhl School YAP,Thresholds Loren Juhl School YAP,Chicago,
Thresholds-Dianes House,Thresholds-Dianes House,Chicago,
Thresholds-James House,Thresholds-James House,Chicago,
Thresholds-Loren Juhl High School,Thresholds-Loren Juhl High School,Chicago,
Thresholds-Mary Hill House,Thresholds-Mary Hill House,Chicago,
Thurgood Marshall Elem School,Thurgood Marshall Elem School,Bellwood,
Thurgood Marshall Elementary,Thurgood Marshall Elementary,Rockford,
Thurgood Marshall Learning Ctr,Thurgood Marshall Learning Ctr,Rock Island,
Thurgood Marshall School,Thurgood Marshall School,Rockford,
Tilden Career Communty Academy HS,Tilden Career Communty Academy HS,Chicago,
Till Elem Math & Science Academy,Till Elem Math & Science Academy,Chicago,
Tilton Elem School,Tilton Elem School,Chicago,
Tilton Elem School,Tilton Elem School,Rochelle,
Timber Ridge Middle School,Timber Ridge Middle School,Plainfield,
Timber Ridge School,Timber Ridge School,Arlington Heights,
Timber Trails Elementary School,Timber Trails Elementary School,Hoffman Estates,
Timothy Christian Elem Midd Sch,Timothy Christian Elem Midd Sch,Elmhurst,
Timothy Christian High School,Timothy Christian High School,Elmhurst,
Tinley Park High School,Tinley Park High School,Tinley Park,
Tioga Elementary School,Tioga Elementary School,Bensenville,
Todd Hall Elem School,Todd Hall Elem School,Lincolnwood,
Together in Love Academy,Together in Love Academy,Chicago,
Tolono CUSD 7,Tolono CUSD 7,Tolono,
Tomorrows Hope Christian Acad,Tomorrows Hope Christian Acad,Pekin,
Tonica CCSD 79,Tonica CCSD 79,Tonica,
Tonica Grade School,Tonica Grade School,Tonica,
Tonti Elem School,Tonti Elem School,Chicago,
Torah Academy,Torah Academy,Buffalo Grove,
Towanda Elem School,Towanda Elem School,Towanda,
Township HSD 211,Township HSD 211,Palatine,
Township HSD 214,Township HSD 214,Arlington Heights,
Transfiguration,Transfiguration,Wauconda,
Transition,Transition,Orland Park,
Transition,Transition,Vernon Hills,
Transition Learning Center,Transition Learning Center,Bensenville,
Transition Program,Transition Program,Lisle,
Transitional Employment Program,Transitional Employment Program,Orland Park,
Transitions of Western IL,Transitions of Western IL,Quincy,
Transitions of Western Illinois,Transitions of Western Illinois,Quincy,
Transitions School,Transitions School,Quincy,
Transitions School - Intensive,Transitions School - Intensive,Quincy,
Traughber Jr High School,Traughber Jr High School,Oswego,
Treatment & Learning Center,Treatment & Learning Center,Kansas,
Treatment & Learning Center-H,Treatment & Learning Center-H,Humboldt,
Tremont CUSD 702,Tremont CUSD 702,Tremont,
Tremont Elem School,Tremont Elem School,Tremont,
Tremont High School,Tremont High School,Tremont,
Tremont Middle School,Tremont Middle School,Tremont,
Trenton Elem School,Trenton Elem School,Trenton,
Trewyn Primary School,Trewyn Primary School,Peoria,
Tri City CUSD 1,Tri City CUSD 1,Buffalo,
Tri Point CUSD 6-J,Tri Point CUSD 6-J,Kempton,
Tri Point Elementary School,Tri Point Elementary School,Kempton,
Tri Valley CUSD 3,Tri Valley CUSD 3,Downs,
Triad CUSD 2,Triad CUSD 2,Troy,
Triad High School,Triad High School,Troy,
Triad Middle School,Triad Middle School,Saint Jacob,
Tri-C Elementary School,Tri-C Elementary School,Carterville,
Tri-City Elem School,Tri-City Elem School,Buffalo,
Tri-City High School,Tri-City High School,Buffalo,
Tri-City Jr High School,Tri-City Jr High School,Buffalo,
Trico CUSD 176,Trico CUSD 176,Campbell Hill,
Trico Elementary School,Trico Elementary School,Campbell Hill,
Trico Jr High School,Trico Jr High School,Campbell Hill,
Trico Senior High School,Trico Senior High School,Campbell Hill,
Tri-County Center,Tri-County Center,Murphysboro,
Tri-County Christian School,Tri-County Christian School,Freeport,
Tri-County South - Choate,Tri-County South - Choate,Anna,
Tri-County Sp Ed Jnt Agreement,Tri-County Sp Ed Jnt Agreement,Murphysboro,
Tri-County Spec Educ Assoc,Tri-County Spec Educ Assoc,Bloomington,
Tri-County Ward,Tri-County Ward,Du Quoin,
Trinity Academy,Trinity Academy,Industry,
Trinity Catholic Academy,Trinity Catholic Academy,La Salle,
Trinity Christian School,Trinity Christian School,Carbondale,
Trinity Christian School,Trinity Christian School,Shorewood,
Trinity Ev Lutheran,Trinity Ev Lutheran,Tinley Park,
Trinity High School,Trinity High School,River Forest,
TRINITY HIGH SCHOOL,TRINITY HIGH SCHOOL,CHICAGO,
Trinity Lutheran,Trinity Lutheran,Arenzville,
Trinity Lutheran,Trinity Lutheran,Burr Ridge,
Trinity Lutheran,Trinity Lutheran,Hoyleton,
Trinity Lutheran,Trinity Lutheran,Bloomington,
Trinity Lutheran,Trinity Lutheran,Edwardsville,
Trinity Lutheran,Trinity Lutheran,Springfield,
Trinity Lutheran Pre-School,Trinity Lutheran Pre-School,West Chicago,
Trinity Lutheran School,Trinity Lutheran School,Stewardson,
Trinity Lutheran School,Trinity Lutheran School,Hoffman,
Trinity Lutheran School,Trinity Lutheran School,Centralia,
